Term,Definition,Category,associatedMaterial
Anticipation,"A principle of animation that involves setting up an action by first showing a preparatory movement or action, creating a sense of weight and anticipation.",,
Arc,"A principle of animation that involves animating movements in a curved path, creating a more natural and fluid motion.",,
Bounce,"A principle of animation that involves adding secondary movements or actions to a primary motion, creating a sense of elasticity and bounce.",,
Stop Motion,"A technique used in animation that involves manipulating physical objects or puppets and photographing them one frame at a time, creating the illusion of movement and animation.",,
Texture Artist,"A professional who specializes in creating and applying textures to 3D models and objects, using image maps and other techniques.",,
Timeline,"The linear sequence of frames or events in an animation or video, often used to organize and control the movement and behavior of objects or characters.",,
Virtual Reality,"A computer-generated simulation of a real-world environment that can be interacted with through specialized hardware, such as a VR headset.",,
Volume Modeling,"A technique used in 3D modeling that involves creating and manipulating volumetric data, such as clouds, smoke, or fire.",,
360-Degree Video,"A video format that captures a full spherical view of the surrounding environment, allowing viewers to look around and interact with the scene in real-time.",,
3D Printing,"The process of creating physical objects from a 3D model or digital design, using specialized hardware and materials.",,
Animation Curve,"A graphical representation of an object's movement over time, used to control and manipulate the timing and behavior of an animation.",,
Cloth Simulation,"A technique used in 3D animation to simulate the behavior and movement of cloth and fabric, such as clothing and drapery.",,
Depth of Field,"The range of distances in a scene that appear in focus, affecting the clarity and emphasis of different elements in a shot.",,
Chroma Key,"A technique used in film, animation, and video production that involves filming against a green or blue screen, which can be replaced with other images or footage in post-production.",,
Claymation,"A technique used in animation that involves manipulating physical objects or puppets and photographing them one frame at a time, creating the illusion of movement and animation.",,
Depth Map,"A digital image that represents the depth and distance of objects or surfaces in a scene, often used in 3D rendering and compositing.",,
Frame Rate,"The speed at which frames are displayed in an animation or video, affecting the smoothness and fluidity of motion.",,
Image-Based Lighting,"A lighting technique used in 3D rendering that simulates the lighting and reflections of a real-world environment, using a panoramic image as a light source.",,
Matte Painting,A technique used in film and animation that involves painting or photographing a background or environment to be used as a set extension or replacement.,,
Motion Graphics Artist,"A professional who specializes in creating visually compelling and informative motion graphics for advertising, branding, and other purposes.",,
Motion Tracking Software,"Software used to track the movement of objects or characters in a video, often used in compositing and visual effects.",,
Parenting,"A technique used in animation to create a hierarchical relationship between objects or characters, allowing for easier control and manipulation of movement and behavior.",,
Performance Capture,"A technique used in film and video games to capture the movement and performance of actors or performers, often using motion capture and other technologies.",,
Photorealism,"The quality of an image or animation that closely resembles a photograph or real-world environment, often achieved through advanced rendering techniques and attention to detail.",,
Pixel Art,"A style of digital art that uses small, pixelated squares to create images and animations, often used in retro video games and other media.",,
Motion Graphics Design,"The art and technique of combining graphic design and animation to create visually compelling and informative videos for advertising, branding, and other purposes.",,
Motion Tracking,"The process of tracking the movement of objects or characters in a video, often used in compositing and visual effects.",,
Object Animation,The process of animating the movement and behavior of objects in an animation or game.,,
Previsualization,"The process of creating a rough, preliminary version of an animation or film to visualize and plan its final form.",,
Render Farm,"A network of computers used to render large and complex animations or visual effects shots, allowing for faster rendering times.",,
Rigging Software,"Software used to create and manipulate the controls and functions of 3D models and characters, such as Autodesk Maya, 3DS Max, and Blender.",,
Sound Design,"The process of creating and manipulating audio elements, including music, sound effects, and dialogue, to enhance the emotional impact and realism of a film, animation, or motion design project.",,
Texturing,"The process of adding surface detail and texture to a 3D model or object, often using image maps and other techniques.",,
Timeline Animation,A type of animation that uses a timeline to organize and control the movement and behavior of objects or characters.,,
Virtual Camera,"A digital camera used in 3D animation and virtual reality to simulate the movement and behavior of a physical camera, allowing for more realistic and immersive animation.",,
Virtual Production,"The use of real-time technology, such as game engines and motion capture, to create and capture live-action performances in a digital environment, allowing for greater flexibility and creative control in film and television production.",,
Wire Removal,A visual effects technique used to remove wires or other support structures used in a live-action or stop-motion animation shot.,,
Animatic,"A rough, preliminary version of an animation or film that uses still images, storyboards, and/or rough animation to visualize and plan its final form.",,
Camera Angle,"The position and angle of the camera in relation to the subject or scene, affecting the composition and meaning of a shot.",,
Wireframe,"A simplified representation of a 3D model or object, showing only its shape and structure without texture or detail; often used for modeling and animation.",,
Zooming,"A camera movement that changes the focal length of the lens, either increasing or decreasing the apparent size of the subject or scene.",,
3D Modeling,"The process of creating a 3D representation of an object or character using specialized software, often used in animation, gaming, and product design.",,
Animation Pipeline,"The sequence of stages involved in creating an animation, from pre-production to final rendering and delivery.",,
Animation Software,"Software designed specifically for creating animations, such as Adobe Animate, Toon Boom Harmony, and Autodesk Maya.",,
Armature,A skeletal structure used to support and control the movement of stop-motion animation puppets or 3D models.,,
Automated Lip-Sync,"A technique that uses algorithms to automatically synchronize a character's mouth movements with pre-recorded dialogue, often used to save time and increase efficiency in animation.",,
Blend Shapes,A technique used in 3D animation to create realistic facial expressions and movements by blending different pre-defined shapes or morph targets.,,
Character Design,"The process of creating and designing the appearance, personality, and backstory of a character in animation or gaming.",,
Compositing,"The process of combining multiple elements or layers of an animation or visual effects shot into a single, cohesive image or video.",,
Digital Puppetry,A technique that uses motion capture or other digital input to control the movement and behavior of a 3D character or object in real-time.,,
Facial Animation,The process of animating a character's facial expressions and movements to create realistic and expressive performances.,,
Foley,"The process of recording and adding sound effects to an animation or film, such as footsteps, door slams, or other environmental sounds.",,
Inverse Kinematics,A technique used in 3D animation to control the movement of a character's limbs and joints by manipulating its end-effector or end-point.,,
Lip Sync,"The process of synchronizing a character's mouth movements with pre-recorded dialogue or sounds, often used in animation and gaming.",,
Pixelation,"The appearance of individual pixels in a digital image or video, often used for creative effect or to emphasize the digital nature of the medium.",,
Pre-Production,"The planning and preparation phase of a film, animation, or motion design project, including concept development, storyboarding, and scheduling.",,
Projection Mapping,"A technique that involves projecting images or video onto irregular surfaces or objects, creating the illusion of 3D movement and depth.",,
Rendering,"The process of generating a final, polished image or animation from a 3D model or scene, often involving complex calculations and specialized software.",,
Rigging,"The process of adding controls and functionality to a 3D model or character, allowing for realistic movement and animation.",,
Rotoscoping,"A technique used in animation and visual effects to trace and animate over live-action footage, creating realistic movement and interaction between live-action and animated elements.",,
Spline-Based Animation,A type of animation that involves creating and manipulating splines or curves to define the movement and shape of an object or character.,,
Storyboarding,"The process of creating a sequence of rough sketches or images to plan and visualize the narrative and composition of a film, animation, or motion design project.",,
Three-Point Lighting,"A lighting setup commonly used in film, animation, and photography, consisting of a key light, fill light, and backlight; creates a balanced and realistic look.",,
Tilt,"A camera movement in which the camera tilts up or down, creating the illusion of movement or perspective.",,
Tracking Shot,"A camera movement that follows a subject or object as it moves through the scene, often used to create a sense of urgency or drama.",,
Transparency,"The quality of a digital image or video that allows underlying layers or backgrounds to show through, often used for compositing and visual effects.",,
Vertex,"A point in 3D space that defines the shape and surface of a 3D model or object, used in modeling and animation.",,
VFX Supervisor,"The person responsible for overseeing and managing the visual effects and compositing work in a film, animation, or motion design project.",,
Exposure,"The amount of light that enters the camera and affects the brightness and contrast of an image or video; often controlled by the camera's aperture, shutter speed, and ISO.",,
Fish Eye Lens,"A wide-angle lens that distorts the image, creating a circular or panoramic view of the scene.",,
Frame,A single image in a sequence of images that make up an animation or video; the rate at which frames are displayed affects the smoothness and fluidity of motion.,,
Green Screen,"A technique that involves filming actors or objects in front of a green or blue screen, which can be replaced with other images or footage in post-production; allows for more flexibility and control in compositing and visual effects.",,
Hotspot,An interactive element in a motion design project that allows viewers to click or tap on a specific area to reveal more information or trigger an action.,,
Kinematics,"The study of motion and movement, often used in the context of animation and robotics.",,
Lens Flare,"A post-production effect that simulates the reflection and refraction of light within a camera lens, creating a dramatic and stylized look.",,
Masking,"The process of hiding or revealing parts of an image or video, often used in compositing and visual effects.",,
Motion Capture,"The process of recording and translating the movements of a performer or object into a digital format, allowing for more realistic and natural animation of 3D characters or objects.",,
Motion Design,"The art and technique of combining animation, typography, graphics, and sound to create visual storytelling in film, television, advertising, and other media.",,
Multiplane Camera,A camera used in traditional animation that allows for the creation of depth and parallax by shooting separate layers of artwork on multiple levels.,,
Non-Linear Editing,A method of editing video or audio that allows for the rearrangement of clips and sequences without altering the original source files; often used in digital editing software.,,
Particle System,"A technique used in 3D animation and visual effects to simulate the behavior of particles such as smoke, fire, or water.",,
Path Animation,"A type of animation that involves animating an object or character along a pre-defined path, often used for camera movements or complex motion.",,
Critique,"A process used in art and design to evaluate and provide feedback on a design or concept, often used to identify strengths, weaknesses, and opportunities for improvement.",,
Iteration,A process used in art and design to refine and improve a design or concept through multiple rounds of feedback and revision.,,
Keyframe,"A point in an animation where a change or movement occurs, typically marked by a specific frame number; often used to create complex and dynamic movement.",,
Luma Key,A technique for extracting a subject or object from a background using the brightness or luminance values of the image; often used in compositing and visual effects.,,
Motion Path,"A visual representation of the path or trajectory of an object or character in an animation, typically shown as a line or curve.",,
Normal Map,"A type of texture map that simulates the appearance of 3D detail and depth on a 2D surface, used in 3D modeling and animation to enhance realism.",,
Overlapping Action,"A principle of animation in which objects or characters move at different rates or in different directions, creating the illusion of depth and dimensionality.",,
Pan,A camera movement in which the camera swivels horizontally to follow a subject or to reveal a new part of the scene.,,
Perspective,"The technique of representing a 3D object or scene on a 2D surface, using techniques like foreshortening and vanishing points to create the illusion of depth and dimensionality.",,
Shake Reduction,"A post-production technique used to stabilize shaky footage, often caused by handheld cameras or other sources of movement.",,
Slow Motion,"A technique that involves filming and playing back footage at a slower rate than normal, creating the illusion of extended time and emphasizing the detail and movement of the subject.",,
Staging Area,The area within a motion design project where elements and assets are prepared and arranged before being incorporated into the final scene or animation.,,
Stop Motion,"A technique that involves photographing still objects or characters in small increments and then combining the images into an animation; often used for creating claymation, puppetry, or other forms of physical animation.",,
Sweep,"A camera movement in which the camera pans horizontally or vertically while remaining stationary in one location, often used for revealing a new part of the scene or for emphasizing a particular element.",,
Time Remapping,"A technique used to speed up or slow down footage, often used for creating",,
Tracking,"A technique used in visual effects and compositing to match the movement and position of an object or character in one piece of footage with another, allowing for seamless integration and interaction.",,
Transition,"A visual effect used to smoothly change from one scene or shot to another in a film, animation, or motion design; can include dissolves, wipes, fades, or other effects.",,
Tweening,"A technique used in 2D and 3D animation to create smooth, interpolated motion between two keyframes, allowing for more efficient and realistic animation.",,
Walkthrough,"A digital simulation that allows viewers to navigate through a 3D environment or space, often used for architectural visualization, video games, or virtual reality experiences.",,
Zoom,"A camera movement that changes the focal length of the lens, either increasing or decreasing the apparent size of the subject or scene.",,
Ambient Occlusion,"A shading technique used in 3D rendering to simulate the soft, indirect lighting that occurs in real-world environments, creating more depth and dimensionality.",,
Anaglyph,A type of stereoscopic 3D image that uses red and blue filters to create the illusion of depth and dimensionality when viewed with glasses.,,
Aspect Ratio,"The proportional relationship between the width and height of an image or video frame, affecting the composition and presentation of a film, animation, or motion design.",,
Camera Shake,"A post-production effect used to simulate the movement and instability of handheld cameras, often used to add realism and immediacy to a scene.",,
Depth of Field,"The range of distances within an image or scene that appear in focus, affected by the camera's aperture and focal length; often used to create a sense of depth and realism.",,
Dolly,"A camera movement in which the camera moves physically closer or farther away from the subject, often used to create a sense of intimacy or distance.",,
Ideation,"A process used in art and design to generate and develop new ideas and concepts, often through research, brainstorming, and prototyping.",,
Mind Mapping,"A technique used in art and design to visually organize and connect ideas, often through the use of diagrams and flowcharts.",,
Sketching,"A fundamental technique used in art and design to quickly explore and develop ideas and concepts, often through rough drawings and doodles.",,
Thumbnailing,"A technique used in art and design to quickly explore and develop different compositions and layouts, often through small, rough sketches.",,
Wireframing,"A technique used in design to create a basic visual outline or skeleton of a digital product, often used to test and refine the user interface and user experience.",,
Prototyping,"A technique used in art and design to create a functional or interactive model of a product or concept, often used to test and refine the design and user experience.",,
Storyboarding,"A technique used in art and design to plan and sequence the visual narrative of a film, animation, or other media, often through a series of drawings or sketches.",,
Mood Board,"A technique used in art and design to collect and organize visual references and inspiration for a project, often including images, colors, textures, and other design elements.",,
Concept Map,"A technique used in art and design to visualize and organize the relationship between different ideas and concepts, often through the use of diagrams and flowcharts.",,
Design Brief,"A document used in art and design to outline the goals, requirements, and constraints of a project, often used to guide and focus the design process.",,
Research,"A process used in art and design to gather information and insights, often through observation, interviews, and other methods, to inform and inspire the design process.",,
User Persona,"A fictional representation of the ideal user or customer for a product or service, often used in art and design to guide and focus the design process.",,
User Journey Map,"A visualization of the steps and interactions a user goes through when using a product or service, often used in art and design to identify and address potential pain points and opportunities for improvement.",,
Concept Development,"A process used in art and design to generate, explore, and refine ideas and concepts, often through iteration and feedback.",,
Soundtrack,"The collection of audio elements used in a film, animation, or motion design, including music, sound effects, dialogue, and Foley; contributes to the overall mood, atmosphere, and narrative of the project.",,
Spline,A mathematical curve that defines the shape and movement of a 3D object or character; often used in rigging and animation.,,
Staging,"The arrangement and positioning of characters, objects, and elements within a frame or scene, affecting the composition, mood, and storytelling of a film, animation, or motion design.",,
Stereoscopic Animation,A type of 3D animation that uses two slightly different views or angles to create the illusion of depth and dimensionality when viewed with 3D glasses.,,
Timelapse Animation,See Time-Lapse.,,
Vignette,"A visual effect that darkens the edges of a frame, creating a circular or oval shape around the central image; often used to draw attention to the subject or to create a nostalgic or dreamy effect",,
Alpha Channel,A transparency channel in a digital image or video that allows the background or underlying layers to show through; often used in compositing and visual effects.,,
Animation Curve,"A visual representation of the movement and timing of an animation, showing the keyframes and easing of the animation's motion.",,
Anti-Aliasing,A technique used in rendering to smooth out jagged edges and reduce pixelation in digital images or video; often used to create a more natural and realistic look.,,
Camera Angle,"The position and orientation of the camera in relation to the subject or scene, affecting the composition, mood, and narrative of a film, animation, or motion design.",,
Clipping Mask,"A technique in which a shape or object is used to ""clip"" or mask another layer, revealing only the portions of the layer that fall within the shape or object; often used for masking and compositing.",,
Depth Map,"A grayscale image that indicates the distance of each pixel from the camera, used for creating depth-of-field effects, compositing, and other visual effects.",,
Dissolve,"A transition effect that fades one image or video clip into another, often used to signify the passage of time or a change in mood or location.",,
Frame Rate,"The number of frames per second in a digital image or video, affecting the smoothness and fluidity of movement.",,
Brainstorming,"A technique used in art and design to generate and collect ideas, often through group discussion or individual exploration.",,
Cel Animation,"A traditional 2D animation technique in which each frame is hand-drawn on a transparent sheet, called a cel, and photographed in sequence; often used in classic animated films and television shows.",,
Color Grading,"The process of adjusting the colors and tones of a video or image, often used to enhance mood, contrast, and visual impact; can be done manually or with specialized software.",,
Cutout Animation,"A type of 2D animation that uses flat, cut-out characters and objects that can be moved and animated across a single plane or space.",,
Dope Sheet,"A timeline-based view of animation keyframes and frames, showing the timing and duration of each element and allowing for precise editing and control.",,
F-Stop,"A measurement of the size of the aperture in a camera lens, determining the amount of light that enters the camera and affecting the depth of field and exposure.",,
Foley,"The process of recording and adding sound effects in post-production, such as footsteps, clothing rustle, or object manipulation, to enhance the realism and immersion of a film, animation, or motion design.",,
Matte Painting,A technique that involves painting or digitally creating a realistic background or environment for live-action or animated footage; often used for creating elaborate and complex sets or locations.,,
Motion Graphics Template,"Pre-designed and pre-animated elements that can be customized and combined to create motion graphics, such as typography, charts, or transitions; often used for faster and more efficient production of motion graphics.",,
Parallax,"A visual effect that occurs when objects or layers move at different rates, creating the illusion of depth and dimensionality; often used in 2D and 3D animation and motion design.",,
Previsualization (Previs),"The process of creating rough, simplified animations or storyboards to plan and visualize a film, animation, or motion design project before production; allows for better planning and communication among team members.",,
Retargeting,"The process of transferring motion capture data from one character or object to another, allowing for more efficient and versatile animation.",,
Rigidity,"The degree to which a character or object maintains its shape and form during movement, affecting the realism and believability of animation.",,
Parenting,"A technique used in 2D and 3D animation that links the position, rotation, or scale of one object to another object, allowing for more efficient and controlled animation.",,
Render Farm,"A cluster of computers used for rendering 3D animations or visual effects, allowing for faster and more efficient rendering times than a single computer.",,
Rendering,"The process of generating a final image or animation sequence from a 3D model or scene, taking into account lighting, shading, materials, and other visual effects.",,
Soft Body Simulation,"A technique used in 3D animation to simulate the deformation and movement of objects with soft or flexible surfaces, such as cloth, rubber, or flesh; often used for simulating clothing, hair, or character skin.",,
Texture Atlas,"A method of optimizing texture use in 3D animation, in which multiple textures are combined into a single, larger image, reducing the number of texture calls and improving performance.",,
UV Mapping,"The process of mapping 2D texture coordinates to a 3D model's surface, allowing textures to be applied accurately and precisely; often done manually or with specialized software.",,
Vector-Based Animation,"A type of 2D animation that uses mathematical equations and vector graphics to create smooth, scalable, and editable images and animations; often used for motion graphics, typography, and logo animations.",,
Walk Cycle,"A sequence of keyframes that animates the movement of a character walking, running, or moving in a repetitive motion; a fundamental skill in character animation.",,
Wireframe,"A visual representation of a 3D model that shows only its underlying structure, using lines and vertices to indicate the model's shape and form; often used for modeling, rigging, and debugging.",,
Z-Depth,"A rendering technique that generates an additional image channel, indicating the distance of each pixel from the camera; used for creating depth-of-field effects and compositing.",,
2.5D Animation,"A technique that combines 2D elements with limited 3D movement or perspective, creating the illusion of depth and dimensionality without full 3D modeling and animation.",,
Camera Mapping,"A technique that projects 2D images or textures onto a 3D surface, creating the illusion of 3D depth and movement without full 3D modeling or animation.",,
Ray Tracing,"A rendering technique used in 3D animation that simulates the behavior of light, including reflections, refractions, and shadows, to create more realistic and accurate lighting and shading.",,
Global Illumination,"A rendering technique used in 3D animation that calculates the indirect illumination of a scene, simulating the way light bounces and scatters off surfaces to create more natural and realistic lighting.",,
Texture Mapping,"The process of applying 2D images or patterns to the surface of a 3D model, giving the object color, detail, and surface properties like roughness or shininess.",,
Bump Mapping,"A technique used in 3D animation to simulate surface detail and texture on a model without increasing the polygon count, by using a grayscale image to define the height or depth of the surface features.",,
Displacement Mapping,"A technique used in 3D animation that physically alters the geometry of a model based on a texture map, creating more detailed and realistic surface features than bump mapping.",,
Motion Graphics,"The combination of animation, video, and graphic design elements to create moving visuals, often used for advertising, title sequences, or explanatory videos; can be 2D, 3D, or a combination of both.",,
Rotoscoping,"In motion design, it can be used to extract moving elements from live-action footage, allowing them to be integrated with other animations or visual effects.",,
Path Animation,"A type of animation where an object or character follows a predefined path or curve, often used in motion graphics for animating text, shapes, or other elements.",,
Ambient Occlusion,"A rendering technique used in 3D animation that simulates the soft, diffuse shadows caused by ambient light being occluded or blocked by nearby surfaces, adding depth and realism to the scene.",,
Match Moving,"The process of tracking camera movement and position in live-action footage, allowing for the integration of 3D elements with the real-world scene; often used for adding CGI characters, objects, or environments to live-action footage.",,
Onion Skinning,"A feature in animation software that allows animators to see the previous and next frames of an animation overlaid on the current frame, helping to maintain consistency and smoothness of movement.",,
Screen Direction,"The orientation and movement of subjects or objects within the frame, which should be consistent across shots and scenes to maintain continuity and clarity for the viewer.",,
Second Unit,"A separate team of filmmakers responsible for capturing additional footage, such as establishing shots, stunts, or B-roll, which is later integrated with the main unit's footage during editing.",,
Time-Lapse,"A filming technique in which individual frames are captured at a much slower rate than the playback rate, causing the action to appear sped up when the frames are played back in sequence; often used to show the passage of time, changes in light, or the motion of objects.",,
Video Assist,"A technology that allows filmmakers to view a live feed of the camera's output on a monitor during shooting, enabling more accurate framing, focus, and exposure adjustments.",,
2D Animation,"The creation of moving images using two-dimensional techniques, such as traditional hand-drawn animation, vector-based animation, or cutout animation; often involves manipulating flat objects or characters across a single plane.",,
3D Animation,"The creation of moving images using three-dimensional techniques, such as computer-generated imagery (CGI), stop-motion, or stereoscopic animation; involves manipulating objects or characters within a virtual 3D space, allowing for more realistic movement, lighting, and depth.",,
Rigging,"The process of creating a virtual skeleton and control system for a 3D model, allowing animators to manipulate and pose the character or object more easily and realistically.",,
Inverse Kinematics (IK),"A technique used in 3D animation that calculates the motion and position of joints and limbs based on the desired position of an end effector, such as a hand or foot; allows for more intuitive and efficient posing and animation.",,
Forward Kinematics (FK),A technique used in 3D animation that calculates the motion and position of joints and limbs based on the rotation and movement of their parent joints; typically used in combination with Inverse Kinematics for more flexible and precise control.,,
Morph Target Animation,"A technique used in 3D animation that involves creating multiple versions of a mesh with different shapes or expressions, then blending between them to create smooth transitions and animation.",,
Particle System,"A technique used in 3D animation and motion design to create large numbers of small, independent objects that move and interact according to defined rules and forces, such as gravity, wind, or collisions; commonly used for simulating natural phenomena like fire, smoke, or water.",,
Zoom,"A camera technique that involves adjusting the focal length of the lens, effectively magnifying or shrinking the field of view; can be used to emphasize or reveal details, create a sense of motion, or adjust the composition of a shot.",,
Crossfade,"A type of transition in which one shot gradually fades out while another shot fades in, creating a smooth and seamless change between scenes; often used to suggest the passage of time or a change in location.",,
Diegetic Sound,"Audio elements that originate from within the world of a film or video, such as dialogue, sound effects, or music that characters can hear; contributes to the realism and immersion of the narrative.",,
Non-Diegetic Sound,"Audio elements that exist outside the world of a film or video, such as background music, voice-overs, or sound effects that characters cannot hear; used to enhance the mood, atmosphere, or storytelling.",,
In-Betweening (Tweening),"In animation, the process of creating intermediate frames between keyframes, resulting in a smooth and continuous motion; can be done manually by animators or automatically by software.",,
Location Scouting,"The process of finding and selecting suitable real-world locations for film and video production; involves assessing factors such as visual appeal, practicality, logistics, and permissions.",,
Mise-en-Scène,"The arrangement of visual elements within a frame, including set design, costumes, lighting, and actors' positions; a key aspect of film direction and cinematography that contributes to the overall look and mood of a scene.",,
Montage,"An editing technique that combines a series of short shots or images, often set to music, to create a visual narrative or convey a passage of time, an idea, or an emotion.",,
Motion Blur,"A visual effect that occurs when fast-moving objects appear blurred due to their motion, simulating the way the human eye perceives movement; can be achieved in-camera or added in post-production.",,
Negative Space,"The empty or unoccupied areas within a frame, often used to create balance, contrast, or emphasis in composition; can also convey a sense of isolation, emptiness, or tension.",,
On-Set VFX Supervisor,"A professional responsible for overseeing the creation and integration of visual effects during the filming process; works closely with the director, cinematographer, and post-production team to ensure that shots are captured correctly and VFX elements can be added seamlessly.",,
Practical Effects,"Physical effects or illusions created on-set and captured in-camera, such as makeup, prosthetics, miniature models, or pyrotechnics; can be used alone or in combination with digital effects to create realistic or stylized visuals.",,
Slow Motion,"A visual effect achieved by filming at a higher frame rate than the playback rate, causing the action to appear slower than in real life; used to emphasize dramatic moments, reveal details, or create an emotional or stylistic impact.",,
Sound Design,"The creation, manipulation, and integration of audio elements for film, animation, and motion design, including dialogue, music, sound effects, and Foley; contributes to the overall mood, atmosphere, and narrative of a project.",,
Split Screen,"A technique that divides the screen into two or more sections, displaying different images or actions simultaneously; can be used for stylistic effect, to compare or contrast scenes, or to enhance storytelling.",,
Stop Motion,"An animation technique that involves manipulating physical objects or puppets frame by frame, creating the illusion of movement when the frames are played back in sequence; used in various forms, including claymation, cutout animation, and pixilation.",,
Storyboard,"A series of illustrations or images, organized in sequence, that visually represent a film, animation, or motion design project; used in pre-production to plan shots, scenes, and narrative flow.",,
Subtitle,"Text displayed on-screen that translates or transcribes spoken dialogue, narration, or sound effects, providing access to information for viewers who are deaf, hard of hearing, or speak a different language.",,
Tilt,"A camera movement in which the camera rotates vertically on a fixed axis, moving up or down; can be used to reveal information, follow movement, or create a sense of scale or depth.",,
Tracking Shot,"A shot in which the camera moves parallel to a subject or action, maintaining a consistent distance and angle; often used to follow characters, explore spaces, or create a dynamic sense of motion.",,
Two-Shot,"A shot that frames two subjects within the same frame, often used in dialogue scenes to establish the relationship between characters or to show their reactions simultaneously.",,
VFX (Visual Effects),"The integration of live-action footage and computer-generated imagery to create realistic or fantastical scenes, objects, or characters that would be difficult or impossible to film in real life; an essential aspect of modern film, animation, and motion design.",,
Voice-Over,"The recorded narration or dialogue of an off-screen speaker, often used to provide information, commentary, or character thoughts in film, animation, and motion design.",,
Wide Shot,"A shot that captures a broad view of a subject or scene, providing context and establishing the setting, characters, or action; often used for establishing shots or to convey a sense of scale and space.",,
Matte Painting,"A technique used to create realistic or fantastical backgrounds, landscapes, or environments for film and video, traditionally painted on glass or, more recently, created digitally; often combined with live-action footage or CGI using compositing.",,
Medium Shot,"A shot that frames a subject from the waist or chest up, balancing detail and context; commonly used for dialogue scenes, interviews, or character introductions.",,
Motion Capture,"A technology that records the movements of actors or objects and translates them into digital animations, often used for creating realistic character performances in CGI, video games, and virtual reality.",,
Nonlinear Editing,"A digital editing process that allows for the rearrangement and manipulation of video and audio clips in any order or sequence, without affecting the original source material; has largely replaced linear editing methods in film and video production.",,
Over-the-Shoulder Shot,"A shot that captures a subject from behind and slightly above the shoulder of another character, typically used in dialogue scenes to create a sense of depth and connection between the characters.",,
Panning,"A camera movement in which the camera rotates horizontally on a fixed axis, scanning a scene from left to right or vice versa; can be used to reveal information, follow movement, or create a sense of space.",,
Parallax,The apparent change in the position or motion of objects as they are viewed from different angles or distances; used in animation and motion design to create depth and a sense of three-dimensionality.,,
Previsualization,"A process used in film, animation, and motion design to create rough visualizations of scenes or sequences before production begins; can include storyboarding, animatics, or 3D mock-ups, helping to refine concepts and plan resources more effectively.",,
Pull Focus,"A technique in which the focus of a shot shifts from one subject to another, directing the viewer's attention and creating depth in the scene.",,
Rotoscoping,"An animation technique that involves tracing over live-action footage, frame by frame, to create realistic motion and performances; can be used for character animation, visual effects, or artistic styles.",,
Scene,"A sequence of events or actions that take place in a single location and time period, serving as a basic unit of narrative structure in film and video.",,
Shot Reverse Shot,"A basic editing pattern used in dialogue scenes, alternating between shots of two characters speaking; helps to maintain continuity, establish spatial relationships, and focus on the characters' reactions and emotions.",,
Continuity Editing,"A style of editing that seeks to create a seamless and coherent narrative flow by maintaining consistency in time, space, and action; includes techniques such as match cuts, shot reverse shot, and the 180-degree rule.",,
Crane Shot,"A shot taken from a camera mounted on a crane or jib, allowing for smooth, sweeping movements and changes in height; often used to reveal or emphasize the scale of a scene.",,
Dolly Shot,"A shot in which the camera moves smoothly along a track or on a wheeled platform, creating a sense of motion, depth, or intimacy; can be used to follow characters, explore spaces, or emphasize relationships between subjects.",,
Dutch Angle,"A shot in which the camera is tilted to one side, creating a diagonal, off-kilter composition; often used to convey tension, disorientation, or instability.",,
Establishing Shot,"A wide shot that sets the context for a scene by showing the location, time of day, or relationship between characters and their environment.",,
Foley,"The art of creating and recording sound effects for film and video, often using everyday objects to mimic or enhance the sounds of actions, objects, or environments.",,
Frame Rate,"The number of individual images, or frames, displayed per second in a film or video affects the motion and smoothness of the footage; common frame rates include 24fps (film), 30fps (video), and 60fps (high frame rate video).",,
Green Screen,"A technique that involves filming subjects against a solid green (or blue) background, which is then replaced with a different background or visual element in post-production using chroma keying; widely used in visual effects and motion design.",,
Jump Cut,"An abrupt transition between two shots, typically of the same subject, that creates a noticeable discontinuity in time, space, or action; can be used intentionally for stylistic or narrative effect.",,
Keyframe,"In animation and motion design, a frame that defines the starting or ending point of a change in an object's properties, such as position, scale, or opacity; software then interpolates the values between keyframes to create smooth motion or transitions.",,
Long Shot,"A shot that captures a subject or scene from a distance, showing a larger context or environment; often used for establishing shots, landscapes, or group scenes.",,
Match Cut,"An editing technique that connects two shots with a visual or thematic similarity, creating a seamless and meaningful transition between scenes.",,
180-Degree Rule,"A basic principle of film continuity that establishes an imaginary line, called the axis of action, to maintain consistent spatial relationships between characters and objects; crossing this line can cause confusion and disorientation for viewers.",,
Aerial Shot,"A shot taken from an elevated position, often using a crane, drone, or helicopter; provides a unique perspective and can convey a sense of scale, distance, or location.",,
Animatic,"A series of storyboard images edited together with a rough soundtrack; used in pre-production for animation and motion design to visualize the timing, pacing, and narrative flow of a project.",,
Aspect Ratio,The proportional relationship between the width and height of an image or screen; common aspect ratios in film and video include 4:3 (standard) and 16:9 (widescreen).,,
B-roll,"Supplementary footage used to enhance a story, provide visual variety, or cover edits; often includes cutaways, establishing shots, and details that support the main narrative.",,
Blocking,"The process of planning and arranging the movements, positions, and actions of actors and cameras within a scene; an essential aspect of film direction and cinematography that contributes to visual storytelling.",,
Cel Animation,"A traditional animation technique that involves creating individual drawings on transparent sheets, called cels, which are then photographed or scanned and composited onto backgrounds; has largely been replaced by digital methods.",,
CGI (Computer-Generated Imagery),"The creation of visual content using computer software, such as 3D models, animations, and visual effects; used extensively in film, television, and motion design to create realistic or stylized imagery.",,
